00c02812  4ef900fc5a58             jmp 0x00fc5a58.l
00c12076  123900c45860             move.b (0x00c45860).l,D1b
00c1207c  b200                     cmp.b D0b,D1b
00c1207e  670e                     beq.b 0x00c1208e
00c1208e  423900c4588e             clr.b (0x00c4588e).l
00c12094  4e5e                     unlk A6
00c12096  4e75                     rts
00c12950  4e56ffe2                 link.w A6,-0x1e
00c12954  48e72000                 movem.l {  D2},-(SP)
00c12958  303900c458dc             move.w (0x00c458dc).l,D0w
00c1295e  7209                     moveq 0x9,D1
00c12960  48c0                     ext.l D0
00c12962  e3a0                     asl.l D1,D0
00c12964  2040                     movea.l D0,A0
00c12966  d1fc00c46184             adda.l #0xc46184,A0
00c1296c  2008                     move.l A0,D0
00c1296e  23c000c18210             move.l D0,(0x00c18210).l
00c12974  1d7900c458b0ffef         move.b (0x00c458b0).l,(-0x11,A6)
00c1297c  2040                     movea.l D0,A0
00c1297e  5488                     addq.l #0x2,A0
00c12980  103900c458ae             move.b (0x00c458ae).l,D0b
00c12986  2d48fff0                 move.l A0,(-0x10,A6)
00c1298a  4a00                     tst.b D0b
00c1298c  660007e0                 bne.w 0x00c1316e
00c12990  103900c457ad             move.b (0x00c457ad).l,D0b
00c12996  123900c457ae             move.b (0x00c457ae).l,D1b
00c1299c  8001                     or.b D1b,D0b
00c1299e  4a00                     tst.b D0b
00c129a0  660007cc                 bne.w 0x00c1316e
00c129a4  4a3900c45795             tst.b (0x00c45795).l
00c129aa  670007c2                 beq.w 0x00c1316e
00c129ae  103900c45885             move.b (0x00c45885).l,D0b
00c129b4  4a00                     tst.b D0b
00c129b6  6a3c                     bpl.b 0x00c129f4
00c129f4  103900c45885             move.b (0x00c45885).l,D0b
00c129fa  5300                     subq.b #0x1,D0b
00c129fc  660c                     bne.b 0x00c12a0a
00c12a0a  4ab900c45b54             tst.l (0x00c45b54).l
00c12a10  67000272                 beq.w 0x00c12c84
00c12c84  4a3900c457b8             tst.b (0x00c457b8).l
00c12c8a  6764                     beq.b 0x00c12cf0
00c12cf0  4a2effef                 tst.b (-0x11,A6)
00c12cf4  6610                     bne.b 0x00c12d06
00c12cf6  103900c457c1             move.b (0x00c457c1).l,D0b
00c12cfc  02000003                 andi.b #0x3,D0b
00c12d00  4a00                     tst.b D0b
00c12d02  66000436                 bne.w 0x00c1313a
00c1313a  103900c45797             move.b (0x00c45797).l,D0b
00c13140  4a00                     tst.b D0b
00c13142  6f2a                     ble.b 0x00c1316e
00c1316e  4cdf0004                 movem.l (SP)+,{  D2}
00c13172  4e5e                     unlk A6
00c13174  4e75                     rts
00c1518c  4e56ffea                 link.w A6,-0x16
00c15190  7000                     moveq 0x0,D0
00c15192  1d40fffd                 move.b D0b,(-0x3,A6)
00c15196  1d40ffff                 move.b D0b,(-0x1,A6)
00c1519a  1d40fffe                 move.b D0b,(-0x2,A6)
00c1519e  4eb900c2f490             jsr 0x00c2f490.l
00c151a4  2d7c00c46201fff8         move.l #0xc46201,(-0x8,A6)
00c151ac  2d7c00c461bffff4         move.l #0xc461bf,(-0xc,A6)
00c151b4  206efff4                 movea.l (-0xc,A6),A0
00c151b8  1010                     move.b (A0),D0b
00c151ba  5300                     subq.b #0x1,D0b
00c151bc  1080                     move.b D0b,(A0)
00c151be  426efff0                 clr.w (-0x10,A6)
00c151c2  302efff0                 move.w (-0x10,A6),D0w
00c151c6  0c400014                 cmpi.w #0x14,D0w
00c151ca  6c000210                 bge.w 0x00c153dc
00c151ce  48c0                     ext.l D0
00c151d0  ed80                     asl.l #0x6,D0
00c151d2  2040                     movea.l D0,A0
00c151d4  d1fc00c45c72             adda.l #0xc45c72,A0
00c151da  23c800c18214             move.l A0,(0x00c18214).l
00c151e0  4a3900c457bd             tst.b (0x00c457bd).l
00c151e6  6618                     bne.b 0x00c15200
00c151e8  4a3900c457ae             tst.b (0x00c457ae).l
00c151ee  6610                     bne.b 0x00c15200
00c151f0  30280028                 move.w (0x28,A0),D0w
00c151f4  5340                     subq.w #0x1,D0w
00c151f6  207900c18214             movea.l (0x00c18214).l,A0
00c151fc  31400028                 move.w D0w,(0x28,A0)
00c15200  207900c18214             movea.l (0x00c18214).l,A0
00c15206  d0fc0026                 adda.w #0x26,A0
00c1520a  103900c457ae             move.b (0x00c457ae).l,D0b
00c15210  2d48ffec                 move.l A0,(-0x14,A6)
00c15214  4a00                     tst.b D0b
00c15216  660c                     bne.b 0x00c15224
00c15218  303900c458c6             move.w (0x00c458c6).l,D0w
00c1521e  08000003                 btst.l #0x3,D0
00c15222  660a                     bne.b 0x00c1522e
00c15224  4a3900c4588b             tst.b (0x00c4588b).l
00c1522a  67000190                 beq.w 0x00c153bc
00c153bc  206effec                 movea.l (-0x14,A6),A0
00c153c0  3010                     move.w (A0),D0w
00c153c2  08000000                 btst.l #0x0,D0
00c153c6  670c                     beq.b 0x00c153d4
00c153d4  546efff0                 addq.w #0x2,(-0x10,A6)
00c153d8  6000fde8                 bra.w 0x00c151c2
00c153dc  4a2effff                 tst.b (-0x1,A6)
00c153e0  6616                     bne.b 0x00c153f8
00c153e2  206efff4                 movea.l (-0xc,A6),A0
00c153e6  4210                     clr.b (A0)
00c153e8  206efff8                 movea.l (-0x8,A6),A0
00c153ec  1010                     move.b (A0),D0b
00c153ee  0200000f                 andi.b #0xf,D0b
00c153f2  00000050                 ori.b #0x50,D0b
00c153f6  1080                     move.b D0b,(A0)
00c153f8  4e5e                     unlk A6
00c153fa  4e75                     rts
00c1ce42  41f900c4f6ca             lea (0xc4f6ca).l,A0
00c1ce48  303900c459aa             move.w (0x00c459aa).l,D0w
00c1ce4e  d0c0                     adda.w D0w,A0
00c1ce50  3e18                     move.w (A0)+,D7w
00c1ce52  0c47ffff                 cmpi.w #-0x1,D7w
00c1ce56  6700017e                 beq.w 0x00c1cfd6
00c1cfa8  41f900c4f6ca             lea (0xc4f6ca).l,A0
00c1cfae  323900c459aa             move.w (0x00c459aa).l,D1w
00c1cfb4  4a40                     tst.w D0w
00c1cfb6  6e02                     bgt.b 0x00c1cfba
00c1cfb8  70ff                     moveq -0x1,D0
00c1cfba  31801014                 move.w D0w,(0x14,A0,D1w*0x1)
00c1cfbe  0679001800c459aa         addi.w #0x18,(0x00c459aa).l
00c1cfc6  6000fe7a                 bra.w 0x00c1ce42
00c1cfd6  423900c45835             clr.b (0x00c45835).l
00c1cfdc  423900c45838             clr.b (0x00c45838).l
00c1cfe2  4a3900c45785             tst.b (0x00c45785).l
00c1cfe8  660000b8                 bne.w 0x00c1d0a2
00c1cfec  0c39000100c45837         cmpi.b #0x1,(0x00c45837).l
00c1cff4  6e1e                     bgt.b 0x00c1d014
00c1cff6  303900c458da             move.w (0x00c458da).l,D0w
00c1cffc  3200                     move.w D0w,D1w
00c1cffe  02410002                 andi.w #0x2,D1w
00c1d002  6606                     bne.b 0x00c1d00a
00c1d004  523900c45838             addq.b #0x1,(0x00c45838).l
00c1d00a  02400003                 andi.w #0x3,D0w
00c1d00e  66000092                 bne.w 0x00c1d0a2
00c1d012  6006                     bra.b 0x00c1d01a
00c1d01a  427900c459aa             clr.w (0x00c459aa).l
00c1d020  43f900c46184             lea (0xc46184).l,A1
00c1d026  7000                     moveq 0x0,D0
00c1d028  323900c458de             move.w (0x00c458de).l,D1w
00c1d02e  b041                     cmp.w D1w,D0w
00c1d030  6766                     beq.b 0x00c1d098
00c1d032  083100060001             btst.b #0x6,(0x1,A1,D0w*0x1)
00c1d038  675e                     beq.b 0x00c1d098
00c1d03a  4cf1001c0014             movem.l (0x14,A1,D0w*0x1),{  D2 D3 D4}
00c1d040  94b11014                 sub.l (0x14,A1,D1w*0x1),D2
00c1d044  96b11018                 sub.l (0x18,A1,D1w*0x1),D3
00c1d048  98b1101c                 sub.l (0x1c,A1,D1w*0x1),D4
00c1d04c  2a02                     move.l D2,D5
00c1d04e  6c02                     bge.b 0x00c1d052
00c1d052  2c03                     move.l D3,D6
00c1d054  6c02                     bge.b 0x00c1d058
00c1d056  4486                     neg.l D6
00c1d058  2e04                     move.l D4,D7
00c1d05a  6c02                     bge.b 0x00c1d05e
00c1d05c  4487                     neg.l D7
00c1d05e  bc85                     cmp.l D5,D6
00c1d060  6d08                     blt.b 0x00c1d06a
00c1d06a  be85                     cmp.l D5,D7
00c1d06c  6e02                     bgt.b 0x00c1d070
00c1d06e  2e05                     move.l D5,D7
00c1d070  7200                     moveq 0x0,D1
00c1d072  0c87007fffff             cmpi.l #0x7fffff,D7
00c1d078  6f06                     ble.b 0x00c1d080
00c1d07a  5441                     addq.w #0x2,D1w
00c1d07c  e487                     asr.l #0x2,D7
00c1d07e  60f2                     bra.b 0x00c1d072
00c1d080  3a01                     move.w D1w,D5w
00c1d082  5045                     addq.w #0x8,D5w
00c1d084  eaa2                     asr.l D5,D2
00c1d086  eaa3                     asr.l D5,D3
00c1d088  eaa4                     asr.l D5,D4
00c1d08a  3e00                     move.w D0w,D7w
00c1d08c  e247                     asr.w #0x1,D7w
00c1d08e  08c70004                 bset.l #0x4,D7
00c1d092  4eb900c25876             jsr 0x00c25876.l
00c1d098  06400200                 addi.w #0x200,D0w
00c1d09c  0c402000                 cmpi.w #0x2000,D0w
00c1d0a0  6d86                     blt.b 0x00c1d028
00c1d0a2  4e75                     rts
00c1f6f8  23fc000fffff00c456e6     move.l #0xfffff,(0x00c456e6).l
00c1f702  42b900c456ea             clr.l (0x00c456ea).l
00c1f708  2a7900c45a36             movea.l (0x00c45a36).l,A5
00c1f70e  426eff9a                 clr.w (-0x66,A6)
00c1f712  426eff84                 clr.w (-0x7c,A6)
00c1f716  4a6eff9a                 tst.w (-0x66,A6)
00c1f71a  66000128                 bne.w 0x00c1f844
00c1f71e  301d                     move.w (A5)+,D0w
00c1f720  6d00007e                 blt.w 0x00c1f7a0
00c1f79a  4e5e                     unlk A6
00c1f79c  7000                     moveq 0x0,D0
00c1f79e  4e75                     rts
00c1f7a0  0c40ffff                 cmpi.w #-0x1,D0w
00c1f7a4  67f4                     beq.b 0x00c1f79a
00c25876  3a07                     move.w D7w,D5w
00c25878  3f07                     move.w D7w,-(SP)
00c2587a  41f900c45bfc             lea (0xc45bfc).l,A0
00c25880  267900c459ca             movea.l (0x00c459ca).l,A3
00c25886  3a02                     move.w D2w,D5w
00c25888  3c03                     move.w D3w,D6w
00c2588a  3e04                     move.w D4w,D7w
00c2588c  cbd8                     muls.w (A0)+,D5
00c2588e  cdd8                     muls.w (A0)+,D6
00c25890  cfd8                     muls.w (A0)+,D7
00c25892  de86                     add.l D6,D7
00c25894  de85                     add.l D5,D7
00c25896  e087                     asr.l #0x8,D7
00c25898  e3a7                     asl.l D1,D7
00c2589a  26c7                     move.l D7,(A3)+
00c2589c  429b                     clr.l (A3)+
00c2589e  5c48                     addq.w #0x6,A0
00c258a0  c5d8                     muls.w (A0)+,D2
00c258a2  c7d8                     muls.w (A0)+,D3
00c258a4  c9d8                     muls.w (A0)+,D4
00c258a6  d883                     add.l D3,D4
00c258a8  d882                     add.l D2,D4
00c258aa  e084                     asr.l #0x8,D4
00c258ac  e3a4                     asl.l D1,D4
00c258ae  26c4                     move.l D4,(A3)+
00c258b0  3e1f                     move.w (SP)+,D7w
00c258b2  36c7                     move.w D7w,(A3)+
00c258b4  544b                     addq.w #0x2,A3
00c258b6  4293                     clr.l (A3)
00c258b8  42ab0004                 clr.l (0x4,A3)
00c258bc  42ab0008                 clr.l (0x8,A3)
00c258c0  23cb00c459ca             move.l A3,(0x00c459ca).l
00c258c6  4e75                     rts
00c25a08  48e70702                 movem.l {  A6 D7 D6 D5},-(SP)
00c25a0c  4df900c45b1e             lea (0xc45b1e).l,A6
00c25a12  2a16                     move.l (A6),D5
00c25a14  4df900c25a3e             lea (0xc25a3e).l,A6
00c25a1a  7e00                     moveq 0x0,D7
00c25a1c  2c3c10000000             move.l #0x10000000,D6
00c25a22  ba96                     cmp.l (A6),D5
00c25a24  6506                     bcs.b 0x00c25a2c
00c25a26  9a96                     sub.l (A6),D5
00c25a28  de86                     add.l D6,D7
00c25a2a  60f6                     bra.b 0x00c25a22
00c25a2c  588e                     addq.l #0x4,A6
00c25a2e  e88e                     lsr.l #0x4,D6
00c25a30  66f0                     bne.b 0x00c25a22
00c25a32  23c700c45b22             move.l D7,(0x00c45b22).l
00c25a38  4cdf40e0                 movem.l (SP)+,{  D5 D6 D7 A6}
00c25a3c  4e75                     rts
00c2f490  23fc000fffff00c456e6     move.l #0xfffff,(0x00c456e6).l
00c2f49a  4e75                     rts
00c2f5c0  d07900c45988             add.w (0x00c45988).l,D0w
00c2f5c6  6d5a                     blt.b 0x00c2f622
00c2f5c8  0c400140                 cmpi.w #0x140,D0w
00c2f5cc  6c54                     bge.b 0x00c2f622
00c2f5ce  d27900c458d8             add.w (0x00c458d8).l,D1w
00c2f5d4  227900c456b6             movea.l (0x00c456b6).l,A1
00c2f5da  47f900c2f766             lea (0xc2f766).l,A3
00c2f5e0  49f900c2f786             lea (0xc2f786).l,A4
00c2f5e6  3f00                     move.w D0w,-(SP)
00c2f5e8  3f01                     move.w D1w,-(SP)
00c2f5ea  6100009c                 bsr.w 0x00c2f688
00c2f5ee  321f                     move.w (SP)+,D1w
00c2f5f0  301f                     move.w (SP)+,D0w
00c2f5f2  4e75                     rts
00c2f5f4  227900c456b6             movea.l (0x00c456b6).l,A1
00c2f5fa  47f900c2f766             lea (0xc2f766).l,A3
00c2f600  49f900c2f786             lea (0xc2f786).l,A4
00c2f606  60000080                 bra.w 0x00c2f688
00c2f60a  3400                     move.w D0w,D2w
00c2f60c  0242000f                 andi.w #0xf,D2w
00c2f610  6614                     bne.b 0x00c2f626
00c2f612  48a7c000                 movem.w {  D1w D0w},-(SP)
00c2f616  61dc                     bsr.b 0x00c2f5f4
00c2f618  4c9f0003                 movem.w (SP)+,{ D0 D1}
00c2f61c  5340                     subq.w #0x1,D0w
00c2f61e  61d4                     bsr.b 0x00c2f5f4
00c2f620  4e75                     rts
00c2f626  227900c456b6             movea.l (0x00c456b6).l,A1
00c2f62c  47f900c2f7c6             lea (0xc2f7c6).l,A3
00c2f632  49f900c2f786             lea (0xc2f786).l,A4
00c2f638  604e                     bra.b 0x00c2f688
00c2f688  4a41                     tst.w D1w
00c2f68a  6f96                     ble.b 0x00c2f622
00c2f68c  343900c45954             move.w (0x00c45954).l,D2w
00c2f692  0242000f                 andi.w #0xf,D2w
00c2f696  d442                     add.w D2w,D2w
00c2f698  d442                     add.w D2w,D2w
00c2f69a  28742000                 movea.l (0x0,A4,D2w*0x1),A4
00c2f69e  3400                     move.w D0w,D2w
00c2f6a0  0240000f                 andi.w #0xf,D0w
00c2f6a4  d040                     add.w D0w,D0w
00c2f6a6  30330000                 move.w (0x0,A3,D0w*0x1),D0w
00c2f6aa  3e00                     move.w D0w,D7w
00c2f6ac  4640                     not.w D0w
00c2f6ae  e741                     asl.w #0x3,D1w
00c2f6b0  3601                     move.w D1w,D3w
00c2f6b2  d643                     add.w D3w,D3w
00c2f6b4  d643                     add.w D3w,D3w
00c2f6b6  d243                     add.w D3w,D1w
00c2f6b8  0242fff0                 andi.w #-0x10,D2w
00c2f6bc  e642                     asr.w #0x3,D2w
00c2f6be  d441                     add.w D1w,D2w
00c2f6c0  4cd10f00                 movem.l (A1),{  A0 A1 A2 A3}
00c2f6c4  d0c2                     adda.w D2w,A0
00c2f6c6  d2c2                     adda.w D2w,A1
00c2f6c8  d4c2                     adda.w D2w,A2
00c2f6ca  d6c2                     adda.w D2w,A3
00c2f6cc  3200                     move.w D0w,D1w
00c2f6ce  3400                     move.w D0w,D2w
00c2f6d0  3600                     move.w D0w,D3w
00c2f6d2  3807                     move.w D7w,D4w
00c2f6d4  3a07                     move.w D7w,D5w
00c2f6d6  3c07                     move.w D7w,D6w
00c2f6d8  0839000000c456e7         btst.b #0x0,(0x00c456e7).l
00c2f6e0  6606                     bne.b 0x00c2f6e8
00c2f6e8  0839000100c456e7         btst.b #0x1,(0x00c456e7).l
00c2f6f0  6606                     bne.b 0x00c2f6f8
00c2f6f8  0839000200c456e7         btst.b #0x2,(0x00c456e7).l
00c2f700  6606                     bne.b 0x00c2f708
00c2f708  0839000300c456e7         btst.b #0x3,(0x00c456e7).l
00c2f710  6606                     bne.b 0x00c2f718
00c2f718  4a7900c456e8             tst.w (0x00c456e8).l
00c2f71e  6d44                     blt.b 0x00c2f764
00c2f764  4ed4                     jmp (A4)
00c2f826  c153                     and.w D0w,(A3)
00c2f828  c352                     and.w D1w,(A2)
00c2f82a  c551                     and.w D2w,(A1)
00c2f82c  c750                     and.w D3w,(A0)
00c2f82e  4e75                     rts
00c2f862  8953                     or.w D4w,(A3)
00c2f864  c352                     and.w D1w,(A2)
00c2f866  8d51                     or.w D6w,(A1)
00c2f868  c750                     and.w D3w,(A0)
00c2f86a  4e75                     rts
00c2f880  c153                     and.w D0w,(A3)
00c2f882  c352                     and.w D1w,(A2)
00c2f884  c551                     and.w D2w,(A1)
00c2f886  8f50                     or.w D7w,(A0)
00c2f888  4e75                     rts
00c2f894  c153                     and.w D0w,(A3)
00c2f896  8b52                     or.w D5w,(A2)
00c2f898  c551                     and.w D2w,(A1)
00c2f89a  8f50                     or.w D7w,(A0)
00c2f89c  4e75                     rts
00c2f8b2  8953                     or.w D4w,(A3)
00c2f8b4  c352                     and.w D1w,(A2)
00c2f8b6  8d51                     or.w D6w,(A1)
00c2f8b8  8f50                     or.w D7w,(A0)
00c2f8ba  4e75                     rts
00c2fa70  5241                     addq.w #0x1,D1w
00c2fa72  5243                     addq.w #0x1,D3w
00c2fa74  4245                     clr.w D5w
00c2fa76  6024                     bra.b 0x00c2fa9c
00c2fa78  347c00c7                 movea.w #0xc7,A2
00c2fa7c  6006                     bra.b 0x00c2fa84
00c2fa7e  347900c45984             movea.w (0x00c45984).l,A2
00c2fa84  33f900c4595400c45956     move.w (0x00c45954).l,(0x00c45956).l
00c2fa8e  b641                     cmp.w D1w,D3w
00c2fa90  67de                     beq.b 0x00c2fa70
00c2fa92  6326                     bls.b 0x00c2faba
00c2fa94  3a03                     move.w D3w,D5w
00c2fa96  9a41                     sub.w D1w,D5w
00c2fa98  5345                     subq.w #0x1,D5w
00c2fa9a  5241                     addq.w #0x1,D1w
00c2fa9c  b24a                     cmp.w A2w,D1w
00c2fa9e  6e18                     bgt.b 0x00c2fab8
00c2faa0  3241                     movea.w D1w,A1
00c2faa2  e741                     asl.w #0x3,D1w
00c2faa4  3e01                     move.w D1w,D7w
00c2faa6  de47                     add.w D7w,D7w
00c2faa8  de47                     add.w D7w,D7w
00c2faaa  de41                     add.w D1w,D7w
00c2faac  3802                     move.w D2w,D4w
00c2faae  9840                     sub.w D0w,D4w
00c2fab0  3c00                     move.w D0w,D6w
00c2fab2  e648                     lsr.w #0x3,D0w
00c2fab4  de40                     add.w D0w,D7w
00c2fab6  6024                     bra.b 0x00c2fadc
00c2faba  3a01                     move.w D1w,D5w
00c2fabc  9a43                     sub.w D3w,D5w
00c2fabe  5345                     subq.w #0x1,D5w
00c2fac0  3800                     move.w D0w,D4w
00c2fac2  9842                     sub.w D2w,D4w
00c2fac4  5243                     addq.w #0x1,D3w
00c2fac6  b64a                     cmp.w A2w,D3w
00c2fac8  6eee                     bgt.b 0x00c2fab8
00c2faca  3243                     movea.w D3w,A1
00c2facc  e743                     asl.w #0x3,D3w
00c2face  3e03                     move.w D3w,D7w
00c2fad0  de47                     add.w D7w,D7w
00c2fad2  de47                     add.w D7w,D7w
00c2fad4  de43                     add.w D3w,D7w
00c2fad6  3c02                     move.w D2w,D6w
00c2fad8  e64a                     lsr.w #0x3,D2w
00c2fada  de42                     add.w D2w,D7w
00c2fadc  48c7                     ext.l D7
00c2fade  7201                     moveq 0x1,D1
00c2fae0  0246000f                 andi.w #0xf,D6w
00c2fae4  e85e                     ror.w #0x4,D6w
00c2fae6  06460b00                 addi.w #0xb00,D6w
00c2faea  4a44                     tst.w D4w
00c2faec  6b0a                     bmi.b 0x00c2faf8
00c2faee  b845                     cmp.w D5w,D4w
00c2faf0  6530                     bcs.b 0x00c2fb22
00c2faf2  06410010                 addi.w #0x10,D1w
00c2faf6  600a                     bra.b 0x00c2fb02
00c2faf8  4444                     neg.w D4w
00c2fafa  b845                     cmp.w D5w,D4w
00c2fafc  6522                     bcs.b 0x00c2fb20
00c2fafe  06410014                 addi.w #0x14,D1w
00c2fb02  94c9                     suba.w A1w,A2
00c2fb04  ba4a                     cmp.w A2w,D5w
00c2fb06  6f14                     ble.b 0x00c2fb1c
00c2fb1c  3444                     movea.w D4w,A2
00c2fb1e  600c                     bra.b 0x00c2fb2c
00c2fb22  c945                     exg D4,D5
00c2fb24  94c9                     suba.w A1w,A2
00c2fb26  b84a                     cmp.w A2w,D4w
00c2fb28  6e02                     bgt.b 0x00c2fb2c
00c2fb2a  3444                     movea.w D4w,A2
00c2fb2c  da45                     add.w D5w,D5w
00c2fb2e  da45                     add.w D5w,D5w
00c2fb30  d844                     add.w D4w,D4w
00c2fb32  3405                     move.w D5w,D2w
00c2fb34  9444                     sub.w D4w,D2w
00c2fb36  6c04                     bge.b 0x00c2fb3c
00c2fb38  08c10006                 bset.l #0x6,D1
00c2fb3c  3605                     move.w D5w,D3w
00c2fb3e  d844                     add.w D4w,D4w
00c2fb40  9a44                     sub.w D4w,D5w
00c2fb42  380a                     move.w A2w,D4w
00c2fb44  ed44                     asl.w #0x6,D4w
00c2fb46  06440042                 addi.w #0x42,D4w
00c2fb4a  70ff                     moveq -0x1,D0
00c2fb4c  3645                     movea.w D5w,A3
00c2fb4e  41f900dff000             lea (0xdff000).l,A0
00c2fb54  082800060002             btst.b #0x6,(0x2,A0)
00c2fb5a  6706                     beq.b 0x00c2fb62
00c2fb5c  4e71                     nop
00c2fb5e  4e71                     nop
00c2fb60  60f2                     bra.b 0x00c2fb54
00c2fb62  314b0064                 move.w A3w,(0x64,A0)
00c2fb66  317c00280066             move.w #0x28,(0x66,A0)
00c2fb6c  317c00280060             move.w #0x28,(0x60,A0)
00c2fb72  21400044                 move.l D0,(0x44,A0)
00c2fb76  31400072                 move.w D0w,(0x72,A0)
00c2fb7a  247900c456b6             movea.l (0x00c456b6).l,A2
00c2fb80  2247                     movea.l D7,A1
00c2fb82  0839000000c456e7         btst.b #0x0,(0x00c456e7).l
00c2fb8a  675e                     beq.b 0x00c2fbea
00c2fb8c  3a06                     move.w D6w,D5w
00c2fb8e  4a7900c456e8             tst.w (0x00c456e8).l
00c2fb94  6d0a                     blt.b 0x00c2fba0
00c2fba0  0839000000c45957         btst.b #0x0,(0x00c45957).l
00c2fba8  6706                     beq.b 0x00c2fbb0
00c2fbaa  064500fa                 addi.w #0xfa,D5w
00c2fbae  6004                     bra.b 0x00c2fbb4
00c2fbb0  0645000a                 addi.w #0xa,D5w
00c2fbb4  2e2a000c                 move.l (0xc,A2),D7
00c2fbb8  de89                     add.l A1,D7
00c2fbba  082800060002             btst.b #0x6,(0x2,A0)
00c2fbc0  6706                     beq.b 0x00c2fbc8
00c2fbc8  31450040                 move.w D5w,(0x40,A0)
00c2fbcc  31410042                 move.w D1w,(0x42,A0)
00c2fbd0  31420052                 move.w D2w,(0x52,A0)
00c2fbd4  21470048                 move.l D7,(0x48,A0)
00c2fbd8  21470054                 move.l D7,(0x54,A0)
00c2fbdc  317c80000074             move.w #-0x8000,(0x74,A0)
00c2fbe2  31430062                 move.w D3w,(0x62,A0)
00c2fbe6  31440058                 move.w D4w,(0x58,A0)
00c2fbea  0839000100c456e7         btst.b #0x1,(0x00c456e7).l
00c2fbf2  675e                     beq.b 0x00c2fc52
00c2fbf4  3a06                     move.w D6w,D5w
00c2fbf6  4a7900c456e8             tst.w (0x00c456e8).l
00c2fbfc  6d0a                     blt.b 0x00c2fc08
00c2fc08  0839000100c45957         btst.b #0x1,(0x00c45957).l
00c2fc10  6706                     beq.b 0x00c2fc18
00c2fc12  064500fa                 addi.w #0xfa,D5w
